ticker,date,window_start,window_end,n_days,mu,sigma
MSFT,2014-02-28,2013-08-29,2014-02-28,126,0.3272465942806022,0.2232808935095896
MSFT,2014-03-31,2013-10-01,2014-03-31,125,0.45037037218378584,0.21928708703686597
MSFT,2014-04-30,2013-10-31,2014-04-30,125,0.2886858242390154,0.21072205656077483
MSFT,2014-05-31,2013-12-02,2014-05-30,125,0.17258334731544925,0.20067128654310853
MSFT,2014-06-30,2013-12-31,2014-06-30,126,0.25255335014783586,0.19486728108771423
MSFT,2014-07-31,2014-02-03,2014-07-31,126,0.2920953511961555,0.17731203140804652
MSFT,2014-08-31,2014-03-03,2014-08-29,128,0.3616949565567041,0.16869623653105464
MSFT,2014-09-30,2014-03-31,2014-09-30,129,0.29955186515112336,0.1560758667539983
MSFT,2014-10-31,2014-05-01,2014-10-31,129,0.31941410548565974,0.16984781088347792
MSFT,2014-11-30,2014-06-02,2014-11-28,127,0.3326420712957831,0.16860411331127959
MSFT,2014-12-31,2014-07-01,2014-12-31,128,0.23701623683518436,0.18416835646589064
SPY,2013-01-02,2012-07-03,2013-01-02,127,0.13359043387429814,0.12576767680104922
SPY,2013-01-31,2012-08-01,2013-01-31,127,0.1612603569353742,0.11505713456735617
SPY,2013-02-28,2012-08-29,2013-02-28,126,0.14199416929304753,0.12085230627749728
SPY,2013-03-31,2012-10-01,2013-03-28,124,0.17231115915559297,0.11632462467410468
SPY,2013-04-30,2012-10-31,2013-04-30,124,0.2493484161145714,0.12230161244630085
SPY,2013-05-31,2012-12-03,2013-05-31,124,0.28411588377505054,0.11472372098766656
SPY,2013-06-30,2012-12-31,2013-06-28,125,0.2741919092691717,0.125521459752922
SPY,2013-07-31,2013-02-01,2013-07-31,125,0.23846987302400152,0.12025665654464379
SPY,2013-08-31,2013-03-01,2013-08-30,128,0.14877603777975457,0.11681353469153455
SPY,2013-09-30,2013-04-01,2013-09-30,128,0.13603091411762422,0.11845929562544179
SPY,2013-10-31,2013-05-01,2013-10-31,129,0.18549498201592476,0.11549979204161907
SPY,2013-11-30,2013-05-31,2013-11-29,128,0.1721647105686494,0.11461441022329273
SPY,2013-12-31,2013-07-01,2013-12-31,128,0.2757103396043993,0.09750723817676982
SPY,2014-01-31,2013-08-01,2014-01-31,127,0.10983064312117251,0.10696349243266508
SPY,2014-02-28,2013-08-29,2014-02-28,126,0.256391711537578,0.10957111983073661
SPY,2014-03-31,2013-10-01,2014-03-31,125,0.21641985126096586,0.11199234433908976
SPY,2014-04-30,2013-10-31,2014-04-30,125,0.13314420132149885,0.11215402903672204
SPY,2014-05-31,2013-12-02,2014-05-30,125,0.12688365866403223,0.11123092515085556
SPY,2014-06-30,2013-12-31,2014-06-30,126,0.1258728779373417,0.10696849763637266
SPY,2014-07-31,2014-02-03,2014-07-31,126,0.16049535695555583,0.10320688511488793
SPY,2014-08-31,2014-03-03,2014-08-29,128,0.1471771508940116,0.09516932785066592
SPY,2014-09-30,2014-03-31,2014-09-30,129,0.11713052254220342,0.09402513408606401
SPY,2014-10-31,2014-05-01,2014-10-31,129,0.13441480421636026,0.10851865097569675
SPY,2014-11-30,2014-06-02,2014-11-28,127,0.14332434548895787,0.10565991102631561
SPY,2014-12-31,2014-07-01,2014-12-31,128,0.09579623858339842,0.12014566847672818
