Datetime,Open,High,Low,Close,Volume
2023-09-21 10:13:00,175.46,175.46,175.255,175.38,219792
2023-09-21 10:14:00,175.39,175.52,175.22,175.31,197689
2023-09-21 10:15:00,175.305,175.56,175.305,175.47,162713
2023-09-21 10:16:00,175.4899,175.59,175.43,175.5001,116053
2023-09-21 10:17:00,175.5,175.6901,175.49,175.66,119840
2023-09-21 10:18:00,175.65,175.88,175.65,175.82,188605
2023-09-21 10:19:00,175.8182,175.89,175.71,175.71,182885
2023-09-21 10:20:00,175.71,175.73,175.59,175.71,161095
2023-09-21 10:21:00,175.7,175.91,175.685,175.8899,128439
2023-09-21 10:22:00,175.88,175.8956,175.52,175.575,133998
2023-09-21 10:23:00,175.57,175.61,175.37,175.4,146645
2023-09-21 10:24:00,175.3914,175.58,175.39,175.55,105083
2023-09-21 10:25:00,175.55,175.6251,175.46,175.6,89296
2023-09-21 10:26:00,175.6,175.67,175.5,175.6,181097
2023-09-21 10:27:00,175.58,175.71,175.53,175.58,119329
2023-09-21 10:28:00,175.57,175.5731,175.42,175.51,82685
2023-09-21 10:29:00,175.49,175.49,175.35,175.3952,76116
2023-09-21 10:30:00,175.3947,175.48,175.33,175.4549,98794
2023-09-21 10:31:00,175.45,175.47,175.39,175.42,74218
2023-09-21 10:32:00,175.41,175.58,175.34,175.405,139077
2023-09-21 10:33:00,175.42,175.68,175.41,175.495,152603
2023-09-21 10:34:00,175.5,175.67,175.49,175.585,147209
2023-09-21 10:35:00,175.585,175.755,175.56,175.57,99194
2023-09-21 10:36:00,175.565,175.835,175.56,175.7936,130451
2023-09-21 10:37:00,175.79,175.8799,175.743,175.86,120234
2023-09-21 10:38:00,175.87,176.05,175.83,176.03,181622
2023-09-21 10:39:00,176.02,176.22,176.0014,176.19,196909
2023-09-21 10:40:00,176.2,176.2099,175.97,176.172,203103
2023-09-21 10:41:00,176.18,176.3,176.1,176.11,191802
2023-09-21 10:42:00,176.1001,176.16,176.01,176.1,147548
2023-09-21 10:43:00,176.09,176.16,175.96,175.96,84536
2023-09-21 10:44:00,175.961,175.999,175.82,175.8503,147488
