date,ticker,mu,omega,alpha,beta,lam,kappa,sigma0,mu_j,sigma_j
2019-05-31,MSFT,0.5188878466997539,1.700234728730777e-05,0.20189081096414657,0.7364961396776196,0.0,0.0,0.011180105276794675,0.0,0.0
2019-05-31,SPY,0.2964733449490081,5.397520717953796e-06,0.19799992758142276,0.7616921475067894,4.097560975609756,-0.028100747335113474,0.00825765769376314,-0.02852071198703987,0.005930020512154852
2019-06-30,AAPL,0.7223882891161673,1.4085085442520929e-05,1.9044274929783816e-05,0.9472797495511388,6.048,-0.028555402368433458,0.016350638929354733,-0.032900151226221176,0.08864662180582372
2019-06-30,MSFT,0.5188878466997539,7.851984616693833e-05,0.19710127198231472,0.3735990576749865,2.016,-0.03678778886333722,0.012567643179371231,-0.03748152683283479,0.0
2019-06-30,SPY,0.2964733449490081,8.722795067590925e-06,0.1072910674684369,0.7375633321108426,4.032,-0.024262171119320053,0.006825046401752652,-0.024561401287858775,0.00033070962372404533
2019-07-31,AAPL,0.7223882891161673,2.018856727136106e-05,0.1393855948354125,0.7667644835963762,4.032,-0.003069292751484154,0.011415266787614746,-0.0059789902437645814,0.07622306150886068
2019-07-31,MSFT,0.5188878466997539,0.00010183475089427001,0.2526358190493066,0.03480926402242863,2.016,-0.03157150641962425,0.010848046828542783,-0.03208063099258762,0.0
2019-07-31,SPY,0.24035126763595946,6.95015157428442e-06,0.07705170550324689,0.7778028937477086,4.032,-0.021466311944104532,0.006220211366501482,-0.021706932135456825,0.0037061193649784263
2019-08-31,AAPL,0.7223882891161673,2.618316030090406e-05,0.12451164129313813,0.795017596925366,5.90625,-0.019875298929514007,0.018972105801891126,-0.021908586241746224,0.06054943136701218
2019-08-31,MSFT,0.3719026376863732,0.00013538400898627887,0.1128262943708794,0.11583943498759355,0.0,0.0,0.013667047044553795,0.0,0.0
2019-08-31,SPY,0.24035126763595946,4.705647902173489e-06,0.21699064765918682,0.7523040311343361,3.9375,-0.026858851920162907,0.01187895733760021,-0.027234593363049786,0.004111174111287451
2019-09-30,AAPL,0.7223882891161673,2.441301685016975e-05,0.14799496823715286,0.7824592104491945,7.937007874015748,-0.02659913830562588,0.013521412968652387,-0.028262108716670342,0.05104532055539609
2019-09-30,MSFT,0.2810395059860413,7.152559416245793e-05,0.11248836983199459,0.5049092517352515,0.0,0.0,0.013272076159017071,0.0,0.0
2019-09-30,SPY,0.24035126763595946,4.521136808777585e-06,0.23445585554505952,0.7308843775486871,3.968503937007874,-0.026858851920162907,0.006744230819888266,-0.027234593363049786,0.004111174111287451
2019-10-31,AAPL,0.6662662118031186,2.237490938388381e-05,0.06388063982621305,0.8531300364518709,3.906976744186047,-0.055229252292896214,0.014800736633179594,-0.0568223060785944,0.0043197546992256195
2019-10-31,MSFT,0.2249174286729927,5.313729802636513e-05,0.0758620248673178,0.6410078315233003,0.0,0.0,0.013706169995233691,0.0,0.0
2019-10-31,SPY,0.1842291903229108,5.111982099172352e-06,0.22136738149324128,0.736790808108459,3.906976744186047,-0.026858851920162907,0.005469395371930384,-0.027234593363049786,0.004111174111287451
2019-11-30,AAPL,0.6662662118031186,1.674232951983203e-05,0.10112642198638538,0.8199085218907716,3.9375,-0.04927919725582941,0.012234017378082801,-0.0505452271895761,0.004557375397709893
2019-11-30,MSFT,0.2249174286729927,1.5072608542496587e-05,0.11815727859226141,0.7726896109157295,3.9375,-0.03032005672682092,0.008912946799786416,-0.03079088077606107,0.001823982248285487
2019-11-30,SPY,0.1842291903229108,3.602352900142025e-06,0.2596512169058689,0.6966262339431835,1.96875,-0.029691903302619616,0.004853517437400684,-0.03014163245577972,0.0
2019-12-31,AAPL,0.6662662118031186,1.2279610626424864e-05,0.11356961508998453,0.8290280992354555,3.9375,-0.04927919725582941,0.011138143763162666,-0.0505452271895761,0.004557375397709893
2019-12-31,MSFT,0.2249174286729927,6.378156416803114e-06,0.1382354660097497,0.8108102982327839,1.96875,-0.029070220053346252,0.008025488310060147,-0.029501130559534516,0.0
2019-12-31,SPY,0.1842291903229108,3.292302655792047e-06,0.27731583990171926,0.6886820021990295,1.96875,-0.029691903302619616,0.005104910416256041,-0.03014163245577972,0.0
