ticker,date,window_start,window_end,n_days,mu,sigma
SPY,2019-04-12,2018-10-15,2019-04-12,124,0.10067592146263123,0.1887834735659606
SPY,2019-04-15,2018-10-16,2019-04-15,124,0.11142673770116776,0.18857261784860938
SPY,2019-04-16,2018-10-17,2019-04-16,124,0.06923106355816758,0.18618242317692893
SPY,2019-04-17,2018-10-18,2019-04-17,124,0.06525417608682867,0.1862138157175943
SPY,2019-04-18,2018-10-19,2019-04-18,124,0.09772913815721923,0.185027649893992
SPY,2019-04-22,2018-10-23,2019-04-22,123,0.11011135856509023,0.1856610446598302
SPY,2019-04-23,2018-10-24,2019-04-23,123,0.1394280206412663,0.18584972889772286
SPY,2019-04-24,2018-10-25,2019-04-24,123,0.1991194776605785,0.18011770442585828
SPY,2019-04-25,2018-10-26,2019-04-25,123,0.160601985132439,0.1783152256974003
SPY,2019-04-26,2018-10-29,2019-04-26,123,0.20597733566840956,0.1764806484081953
SPY,2019-04-29,2018-10-30,2019-04-29,123,0.2217109388777496,0.17615904874730012
SPY,2019-04-30,2018-10-31,2019-04-30,123,0.1917017232990632,0.1748708600526555
SPY,2019-05-01,2018-11-02,2019-05-01,122,0.13372130690404402,0.17479462302127963
SPY,2019-05-02,2018-11-05,2019-05-02,122,0.1423004122953049,0.17456127173360406
SPY,2019-05-03,2018-11-05,2019-05-03,123,0.1609473198093481,0.17433182233028474
SPY,2019-05-06,2018-11-07,2019-05-06,122,0.12861492847524092,0.17485194921215105
SPY,2019-05-07,2018-11-08,2019-05-07,122,0.05101198550165943,0.17403717867671745
SPY,2019-05-08,2018-11-09,2019-05-08,122,0.05185857987506506,0.1740274375454542
SPY,2019-05-09,2018-11-12,2019-05-09,122,0.0650425028750332,0.17356099291975316
SPY,2019-05-10,2018-11-12,2019-05-10,123,0.07278153426514314,0.1729327565704123
SPY,2019-05-13,2018-11-14,2019-05-13,122,0.0670534328843843,0.17483257294323531
SPY,2019-05-14,2018-11-15,2019-05-14,122,0.0988504713642847,0.17484191798959972
SPY,2019-05-15,2018-11-16,2019-05-15,122,0.08890153827864694,0.17437964918358614
SPY,2019-05-16,2018-11-19,2019-05-16,122,0.10302598013501371,0.17481303088974703
SPY,2019-05-17,2018-11-19,2019-05-17,123,0.09043224990041814,0.1743172974206045
SPY,2019-05-20,2018-11-21,2019-05-20,122,0.14930699933467,0.17148430212317564
SPY,2019-05-21,2018-11-23,2019-05-21,122,0.16034903120880936,0.17181937474823414
SPY,2019-05-22,2018-11-23,2019-05-22,123,0.15328760763046262,0.17118485040483902
SPY,2019-05-23,2018-11-26,2019-05-23,123,0.1423569857722586,0.17181233212746186
SPY,2019-05-24,2018-11-26,2019-05-24,124,0.14422871745706747,0.17111751986407073
SPY,2019-05-28,2018-11-29,2019-05-28,122,0.04377597960987999,0.16851268054259635
SPY,2019-05-29,2018-11-30,2019-05-29,122,0.03359595399612076,0.16879085158739726
SPY,2019-05-30,2018-12-03,2019-05-30,122,0.0210604149040796,0.16840520539767895
SPY,2019-05-31,2018-12-03,2019-05-31,123,-0.005834244799657475,0.16876285727880921
SPY,2019-06-03,2018-12-04,2019-06-03,123,-0.03367566598039144,0.16807686915417003
SPY,2019-06-04,2018-12-06,2019-06-04,123,0.07670657610756866,0.16415050636394946
SPY,2019-06-05,2018-12-06,2019-06-05,124,0.09276216780876363,0.163869355468794
SPY,2019-06-06,2018-12-07,2019-06-06,124,0.10813999700115429,0.16407520686989677
SPY,2019-06-07,2018-12-10,2019-06-07,124,0.17686611896626794,0.16109575594632214
SPY,2019-06-10,2018-12-11,2019-06-10,124,0.18270767278198133,0.16118635728802702
SPY,2019-06-11,2018-12-12,2019-06-11,124,0.1827159181091033,0.16118630419069663
SPY,2019-06-12,2018-12-13,2019-06-12,124,0.1676640288397185,0.16109322390121544
SPY,2019-06-13,2018-12-14,2019-06-13,124,0.17659013246829183,0.16117664381628286
SPY,2019-06-14,2018-12-17,2019-06-14,124,0.21232025615989286,0.15869006640940306
SPY,2019-06-17,2018-12-18,2019-06-17,124,0.25653656348933374,0.15560393389802887
SPY,2019-06-18,2018-12-19,2019-06-18,124,0.27585714675796447,0.1560841618930443
SPY,2019-06-19,2018-12-20,2019-06-19,124,0.3130544280654428,0.15430623421676576
SPY,2019-06-20,2018-12-21,2019-06-20,124,0.36439990774492753,0.1527893898801509
SPY,2019-06-21,2018-12-24,2019-06-21,124,0.4062110379566633,0.1477754120981479
SPY,2019-06-24,2018-12-26,2019-06-24,124,0.4583467307826184,0.14186856859599625
SPY,2019-06-25,2018-12-26,2019-06-25,125,0.4354457619706789,0.14221295563827183
SPY,2019-06-26,2018-12-27,2019-06-26,125,0.3354222206850939,0.1256101350767556
SPY,2019-06-27,2018-12-28,2019-06-27,125,0.3260612695139396,0.12523596449492488
SPY,2019-06-28,2018-12-31,2019-06-28,125,0.33989079647193843,0.12535000467604188
SPY,2019-07-01,2019-01-02,2019-07-01,125,0.33804291612590615,0.1252493659074139
SPY,2019-07-02,2019-01-03,2019-07-02,125,0.3414170503044567,0.12527025768601047
SPY,2019-07-03,2019-01-04,2019-07-03,125,0.4072887755055896,0.11988359520712023
SPY,2019-07-05,2019-01-07,2019-07-05,125,0.33586508903108825,0.11081412740370229
SPY,2019-07-08,2019-01-09,2019-07-08,124,0.2949462504145009,0.11065182852939405
SPY,2019-07-09,2019-01-10,2019-07-09,124,0.28913847976025864,0.11055594867519723
SPY,2019-07-10,2019-01-11,2019-07-10,124,0.2891579256288584,0.11055654329523265
SPY,2019-07-11,2019-01-14,2019-07-11,124,0.2941137342007731,0.1105524628205256
SPY,2019-07-12,2019-01-14,2019-07-12,125,0.301239985947643,0.11022011596544143
SPY,2019-07-15,2019-01-16,2019-07-15,124,0.29279377909262444,0.10946676601105737
SPY,2019-07-16,2019-01-17,2019-07-16,124,0.2813754720331616,0.10964597193289718
SPY,2019-07-17,2019-01-18,2019-07-17,124,0.25256935044795564,0.10977817879160458
SPY,2019-07-18,2019-01-22,2019-07-18,124,0.23340470631885588,0.10846371597419305
SPY,2019-07-19,2019-01-22,2019-07-19,125,0.21913377769583947,0.10849205131714885
SPY,2019-07-22,2019-01-23,2019-07-22,125,0.2535069439508125,0.10635754349405796
SPY,2019-07-23,2019-01-24,2019-07-23,125,0.26285580349519216,0.10666654382851326
SPY,2019-07-24,2019-01-25,2019-07-24,125,0.26952689913454153,0.1067927490887038
SPY,2019-07-25,2019-01-28,2019-07-25,125,0.24184649582291493,0.10663876274681613
SPY,2019-07-26,2019-01-28,2019-07-26,126,0.254633545070277,0.10659552255436246
SPY,2019-07-29,2019-01-30,2019-07-29,125,0.27219762743087184,0.1062751348081914
SPY,2019-07-30,2019-01-31,2019-07-30,125,0.2359194267077046,0.10436248221272901
SPY,2019-07-31,2019-02-01,2019-07-31,125,0.1962553067075021,0.10510172486870362
SPY,2019-08-01,2019-02-04,2019-08-01,125,0.17618254526211585,0.10600166956905119
SPY,2019-08-02,2019-02-04,2019-08-02,126,0.16034899394444935,0.10616879858734156
SPY,2019-08-05,2019-02-06,2019-08-05,125,0.07776927951295977,0.11467730323432601
SPY,2019-08-06,2019-02-07,2019-08-06,125,0.10825640042757093,0.11602576760848045
SPY,2019-08-07,2019-02-08,2019-08-07,125,0.12847994886138067,0.11519784353723728
SPY,2019-08-08,2019-02-11,2019-08-08,125,0.1644073720355901,0.11809198962830682
SPY,2019-08-09,2019-02-11,2019-08-09,126,0.1501570345514942,0.11804951643044737
SPY,2019-08-12,2019-02-13,2019-08-12,125,0.10015863712255421,0.11852014876051138
SPY,2019-08-13,2019-02-14,2019-08-13,125,0.12348319463278767,0.12018139774362045
SPY,2019-08-14,2019-02-15,2019-08-14,125,0.06891212109696744,0.12739026487669525
SPY,2019-08-15,2019-02-19,2019-08-15,125,0.05234876203599256,0.12653397983134526
SPY,2019-08-16,2019-02-19,2019-08-16,126,0.08081288068571091,0.12762391740107434
SPY,2019-08-19,2019-02-20,2019-08-19,126,0.10179239222386904,0.12868759759177237
SPY,2019-08-20,2019-02-21,2019-08-20,126,0.08215744693423055,0.12919540184247869
SPY,2019-08-21,2019-02-22,2019-08-21,126,0.10549603491058868,0.12956287752575602
SPY,2019-08-22,2019-02-25,2019-08-22,126,0.09175318847354141,0.12928831522356618
SPY,2019-08-23,2019-02-25,2019-08-23,127,0.03902773100375228,0.1341037828710587
SPY,2019-08-26,2019-02-27,2019-08-26,126,0.060182522442291386,0.13549448853695018
SPY,2019-08-27,2019-02-28,2019-08-27,126,0.05456255320667225,0.13557893703606852
SPY,2019-08-28,2019-03-01,2019-08-28,126,0.0726906232564275,0.13581504525103147
SPY,2019-08-29,2019-03-01,2019-08-29,127,0.09738113670531359,0.13640587128707768
SPY,2019-08-30,2019-03-01,2019-08-30,128,0.09812914044996748,0.1358688248161723
SPY,2019-09-03,2019-03-04,2019-09-03,128,0.07110604633047046,0.13592986526481454
SPY,2019-09-04,2019-03-05,2019-09-04,128,0.10000766055382368,0.13660267644796653
SPY,2019-09-05,2019-03-06,2019-09-05,128,0.12796650679730467,0.13774332274995904
SPY,2019-09-06,2019-03-07,2019-09-06,128,0.14256540269487192,0.1373896319141227
SPY,2019-09-09,2019-03-11,2019-09-09,127,0.16342932783166336,0.13735672890613287
SPY,2019-09-10,2019-03-11,2019-09-10,128,0.1628903419636329,0.1368154249165557
SPY,2019-09-11,2019-03-12,2019-09-11,128,0.14853922047051668,0.1357276263708057
SPY,2019-09-12,2019-03-13,2019-09-12,128,0.14860473461938434,0.135728798245808
SPY,2019-09-13,2019-03-14,2019-09-13,128,0.13399905476384072,0.13543598356288877
SPY,2019-09-16,2019-03-18,2019-09-16,127,0.12870441953503783,0.1360606676636281
SPY,2019-09-17,2019-03-18,2019-09-17,128,0.1327550837063003,0.13555468154330894
SPY,2019-09-18,2019-03-19,2019-09-18,128,0.1261328176112383,0.13548011805921156
SPY,2019-09-19,2019-03-20,2019-09-19,128,0.12645598248572962,0.13547889908683408
SPY,2019-09-20,2019-03-21,2019-09-20,128,0.11352674742973923,0.13611849849744206
SPY,2019-09-23,2019-03-25,2019-09-23,127,0.13060132363257584,0.13302502105531497
SPY,2019-09-24,2019-03-25,2019-09-24,128,0.11308651291875046,0.13308696149330299
SPY,2019-09-25,2019-03-26,2019-09-25,128,0.1266872275067444,0.13331463465590576
SPY,2019-09-26,2019-03-27,2019-09-26,128,0.10792876007636337,0.1330417880031567
SPY,2019-09-27,2019-03-28,2019-09-27,128,0.10684143322017178,0.13308576923715065
SPY,2019-09-30,2019-04-01,2019-09-30,127,0.09697614563788266,0.13339271525444812
SPY,2019-10-01,2019-04-02,2019-10-01,127,0.049756227318736364,0.13363848031890133
SPY,2019-10-02,2019-04-03,2019-10-02,127,0.013790567147752687,0.13609400773245903
SPY,2019-10-03,2019-04-04,2019-10-03,127,0.025774383134704495,0.13654477052108463
SPY,2019-10-04,2019-04-05,2019-10-04,127,0.049191028483142774,0.13793119395829825
SPY,2019-10-07,2019-04-08,2019-10-07,127,0.031122283410483377,0.13794326263028886
SPY,2019-10-08,2019-04-09,2019-10-08,127,-0.002053232175006372,0.1397145679765579
SPY,2019-10-09,2019-04-10,2019-10-09,127,0.02800762895574885,0.14009285828868484
SPY,2019-10-10,2019-04-11,2019-10-10,127,0.0336922261172591,0.14029136424974378
SPY,2019-10-11,2019-04-12,2019-10-11,127,0.055346791618229634,0.1411177467518417
SPY,2019-10-14,2019-04-15,2019-10-14,127,0.03933617754880522,0.14083639668927284
SPY,2019-10-15,2019-04-16,2019-10-15,127,0.06018343615585577,0.1414989103528612
SPY,2019-10-16,2019-04-17,2019-10-16,127,0.05533987831288651,0.1415314849973309
SPY,2019-10-17,2019-04-18,2019-10-17,127,0.06525870943774813,0.14153788135647272
SPY,2019-10-18,2019-04-22,2019-10-18,127,0.05435043716377003,0.1416464383764433
SPY,2019-10-21,2019-04-22,2019-10-21,128,0.06745523191458305,0.1413964720658721
SPY,2019-10-22,2019-04-23,2019-10-22,128,0.058440536592370446,0.14149306197752015
SPY,2019-10-23,2019-04-24,2019-10-23,128,0.04670136919144591,0.1410201882709362
SPY,2019-10-24,2019-04-25,2019-10-24,128,0.05478628858031964,0.14100069131191237
SPY,2019-10-25,2019-04-26,2019-10-25,128,0.06353250751788686,0.14110184849356364
SPY,2019-10-28,2019-04-29,2019-10-28,128,0.06525285716077028,0.1411616597766866
SPY,2019-10-29,2019-04-30,2019-10-29,128,0.06143588779233469,0.14116457986157613
SPY,2019-10-30,2019-05-01,2019-10-30,128,0.06607032990223946,0.1412272216784131
SPY,2019-10-31,2019-05-01,2019-10-31,129,0.05977374829982708,0.14074658889899894
SPY,2019-11-01,2019-05-02,2019-11-01,129,0.09336406199304804,0.14093528049472562
SPY,2019-11-04,2019-05-06,2019-11-04,128,0.08646787138437667,0.14091690372600804
SPY,2019-11-05,2019-05-06,2019-11-05,129,0.08349436385631111,0.1403814894961627
SPY,2019-11-06,2019-05-07,2019-11-06,129,0.09357871890038158,0.14022497932197095
SPY,2019-11-07,2019-05-08,2019-11-07,129,0.13226524706652662,0.138220378274411
SPY,2019-11-08,2019-05-09,2019-11-08,129,0.14067587149773506,0.1382224731586123
SPY,2019-11-11,2019-05-13,2019-11-11,128,0.13522502207086823,0.13864949313704866
SPY,2019-11-12,2019-05-13,2019-11-12,129,0.13732787307871336,0.13811502657486643
SPY,2019-11-13,2019-05-14,2019-11-13,129,0.1863003635811717,0.13359751031780234
SPY,2019-11-14,2019-05-15,2019-11-14,129,0.17264340162385924,0.13319828393719887
SPY,2019-11-15,2019-05-16,2019-11-15,129,0.17617222171949454,0.13336430783262096
SPY,2019-11-18,2019-05-20,2019-11-18,128,0.17191753386102615,0.13305406294322297
SPY,2019-11-19,2019-05-20,2019-11-19,129,0.16954343067378952,0.1325441860791233
SPY,2019-11-20,2019-05-21,2019-11-20,129,0.17573953082431903,0.1322691208185268
SPY,2019-11-21,2019-05-22,2019-11-21,129,0.15627700948149928,0.13185129192820444
SPY,2019-11-22,2019-05-23,2019-11-22,129,0.16600519106209616,0.13177990099574746
SPY,2019-11-25,2019-05-28,2019-11-25,128,0.20260753367069761,0.13145550182700996
SPY,2019-11-26,2019-05-28,2019-11-26,129,0.20534986043521947,0.13095569624085363
SPY,2019-11-27,2019-05-28,2019-11-27,130,0.21204127223436875,0.13053563324367362
SPY,2019-11-29,2019-05-30,2019-11-29,129,0.23608181855361152,0.13010745960675385
SPY,2019-12-02,2019-06-03,2019-12-02,128,0.24229073678466984,0.12981059153387028
SPY,2019-12-03,2019-06-04,2019-12-03,128,0.23470792516516642,0.13014158904525047
SPY,2019-12-04,2019-06-05,2019-12-04,128,0.2056087134162148,0.12720143721723615
SPY,2019-12-05,2019-06-06,2019-12-05,128,0.19293607270359742,0.126779457868978
SPY,2019-12-06,2019-06-07,2019-12-06,128,0.19833875607284787,0.12707783053636956
SPY,2019-12-09,2019-06-10,2019-12-09,128,0.17165227844201147,0.1264474368291102
SPY,2019-12-10,2019-06-11,2019-12-10,128,0.16044551511430216,0.12634693478513462
SPY,2019-12-11,2019-06-12,2019-12-11,128,0.16675615159688068,0.12637969939029356
SPY,2019-12-12,2019-06-13,2019-12-12,128,0.187754940879833,0.12681603434312932
SPY,2019-12-13,2019-06-14,2019-12-13,128,0.1796129009055139,0.12671399978514844
SPY,2019-12-16,2019-06-17,2019-12-16,128,0.19653943816371036,0.1269929649903982
SPY,2019-12-17,2019-06-18,2019-12-17,128,0.19534970610650626,0.12699438739208468
SPY,2019-12-18,2019-06-19,2019-12-18,128,0.17565851953021044,0.1263810628650393
SPY,2019-12-19,2019-06-20,2019-12-19,128,0.17867131118367807,0.12645370397888359
SPY,2019-12-20,2019-06-21,2019-12-20,128,0.16016786415756823,0.1258467514013797
SPY,2019-12-23,2019-06-24,2019-12-23,128,0.1737951903766137,0.12549020159614654
SPY,2019-12-24,2019-06-25,2019-12-24,128,0.17695418830762688,0.1254489188388901
SPY,2019-12-26,2019-06-27,2019-12-26,127,0.21004744046509996,0.12522480517678838
SPY,2019-12-27,2019-06-28,2019-12-27,127,0.2022598371158337,0.1251505913718851
SPY,2019-12-30,2019-07-01,2019-12-30,127,0.17954614056336163,0.12527946401223364
SPY,2019-12-31,2019-07-01,2019-12-31,128,0.18407905737125435,0.12482707481808096
SPY,2020-01-02,2019-07-03,2020-01-02,127,0.18127470151029204,0.12537667350204906
SPY,2020-01-03,2019-07-05,2020-01-03,127,0.15176340152748374,0.12542837142465885
SPY,2020-01-06,2019-07-08,2020-01-06,127,0.16215361273490447,0.12545221409252846
SPY,2020-01-07,2019-07-08,2020-01-07,128,0.15555156126324654,0.12504588837810018
SPY,2020-01-08,2019-07-09,2020-01-08,128,0.17475972020387404,0.12495072063386922
SPY,2020-01-09,2019-07-10,2020-01-09,128,0.18530042981776904,0.12524827268630864
SPY,2020-01-10,2019-07-11,2020-01-10,128,0.17078593982607096,0.12523509625526894
SPY,2020-01-13,2019-07-15,2020-01-13,127,0.17205101900938322,0.12589427547341372
SPY,2020-01-14,2019-07-15,2020-01-14,128,0.16790542084808774,0.12543245117513901
SPY,2020-01-15,2019-07-16,2020-01-15,128,0.17127030163573082,0.12544193909043522
SPY,2020-01-16,2019-07-17,2020-01-16,128,0.19437359125328063,0.12576940003177925
SPY,2020-01-17,2019-07-18,2020-01-17,128,0.21483183477740128,0.1254174995639634
SPY,2020-01-21,2019-07-22,2020-01-21,127,0.21619401125919174,0.12555793801509904
SPY,2020-01-22,2019-07-23,2020-01-22,127,0.2111885150533193,0.12552835721332997
SPY,2020-01-23,2019-07-24,2020-01-23,127,0.2000245959737778,0.1252405963514046
SPY,2020-01-24,2019-07-25,2020-01-24,127,0.17268710943584212,0.12588014161232547
SPY,2020-01-27,2019-07-29,2020-01-27,126,0.13817221875836694,0.12789901660512693
SPY,2020-01-28,2019-07-29,2020-01-28,127,0.15696052959565657,0.12808681783224865
SPY,2020-01-29,2019-07-30,2020-01-29,127,0.15848551545128453,0.12806451847627884
SPY,2020-01-30,2019-07-31,2020-01-30,127,0.16990202756613784,0.12804151325899948
SPY,2020-01-31,2019-08-01,2020-01-31,127,0.15629983539147485,0.12963674276831225
SPY,2020-02-03,2019-08-05,2020-02-03,126,0.20429616151456464,0.12927114225792033
SPY,2020-02-04,2019-08-05,2020-02-04,127,0.23216467199729363,0.13026822295040877
SPY,2020-02-05,2019-08-06,2020-02-05,127,0.31419801355776694,0.12338723914777718
SPY,2020-02-06,2019-08-07,2020-02-06,127,0.29532299394321365,0.12229910603351012
SPY,2020-02-07,2019-08-08,2020-02-07,127,0.28339054212150194,0.12262954909372183
SPY,2020-02-10,2019-08-12,2020-02-10,126,0.2758349574435339,0.12037986004378567
SPY,2020-02-11,2019-08-12,2020-02-11,127,0.27707708280231164,0.11990445305313878
SPY,2020-02-12,2019-08-13,2020-02-12,127,0.3133833597169833,0.11872120103589505
SPY,2020-02-13,2019-08-14,2020-02-13,127,0.2816826047778736,0.11723368183725914
SPY,2020-02-14,2019-08-15,2020-02-14,127,0.3439078265519793,0.10895064479161831
SPY,2020-02-18,2019-08-19,2020-02-18,126,0.30675029324910774,0.10792457811949237
SPY,2020-02-19,2019-08-20,2020-02-19,126,0.2923588216486195,0.10694337528195845
SPY,2020-02-20,2019-08-21,2020-02-20,126,0.3005257100041998,0.10640420220938064
SPY,2020-02-21,2019-08-22,2020-02-21,126,0.2630220526227802,0.10720629795430316
SPY,2020-02-24,2019-08-26,2020-02-24,125,0.25061828887365,0.11202880454501594
SPY,2020-02-25,2019-08-26,2020-02-25,126,0.18733390502463898,0.1202185761144158
SPY,2020-02-26,2019-08-27,2020-02-26,126,0.1577773146876158,0.11948872917736383
SPY,2020-02-27,2019-08-28,2020-02-27,126,0.07451291197045329,0.13559469440004224
SPY,2020-02-28,2019-08-29,2020-02-28,126,0.045264461378417664,0.13581453635414412
SPY,2020-03-02,2019-09-03,2020-03-02,125,0.10888720031551068,0.14939035961337302
SPY,2020-03-03,2019-09-04,2020-03-03,125,0.06540987481825933,0.1545698554637203
SPY,2020-03-04,2019-09-05,2020-03-04,125,0.1267430469363756,0.16451296568211965
SPY,2020-03-05,2019-09-06,2020-03-05,125,0.03138939767851517,0.17073898820917932
SPY,2020-03-06,2019-09-09,2020-03-06,125,-0.005001213712535161,0.1724790813723754
