Datetime,Open,High,Low,Close,Volume
2022-10-21 13:00:00,239.29,239.82,237.91,239.26,1311018
2022-10-21 14:00:00,239.26,241.18,239.25,241.04,1503605
2022-10-21 15:00:00,241.02,241.98,240.53,241.0901,1569510
2022-10-21 16:00:00,241.105,243.0,241.0201,242.03,3314601
2022-10-24 10:00:00,243.63,245.73,241.5,244.02,3210355
2022-10-24 11:00:00,244.01,244.52,241.295,243.9099,3026153
2022-10-24 12:00:00,243.913,245.885,243.37,245.87,1922936
2022-10-24 13:00:00,245.8899,246.7,245.27,245.87,1496479
2022-10-24 14:00:00,245.87,246.025,244.82,245.41,1188470
2022-10-24 15:00:00,245.39,247.35,245.34,247.27,1534485
2022-10-24 16:00:00,247.28,247.84,246.41,247.32,3117202
2022-10-25 10:00:00,247.47,249.79,245.83,248.78,3677025
2022-10-25 11:00:00,248.775,249.59,247.74,248.48,2619146
2022-10-25 12:00:00,248.5,250.0,248.32,249.765,2273194
2022-10-25 13:00:00,249.78,249.9523,248.7814,249.08,1762884
2022-10-25 14:00:00,249.04,249.41,248.16,249.385,1707540
2022-10-25 15:00:00,249.38,250.11,249.15,249.482,2024963
2022-10-25 16:00:00,249.5,251.04,249.35,250.76,4202679
2022-10-26 10:00:00,231.0,233.34,230.17,231.52,15065737
2022-10-26 11:00:00,231.5,237.23,230.81,235.75,14077217
2022-10-26 12:00:00,235.743,238.3,235.445,236.47,7130600
2022-10-26 13:00:00,236.46,237.17,234.52,234.845,5368664
2022-10-26 14:00:00,234.85,235.189,233.2729,235.13,4506796
2022-10-26 15:00:00,235.135,235.78,232.96,233.1,4305145
2022-10-26 16:00:00,233.07,233.2865,230.06,231.2027,8951479
2022-10-27 10:00:00,231.04,233.69,226.81,227.39,5624978
2022-10-27 11:00:00,227.42,230.73,226.99,227.75,4806660
2022-10-27 12:00:00,227.74,229.06,227.02,227.28,2997865
2022-10-27 13:00:00,227.2875,227.57,225.78,226.47,3002634
2022-10-27 14:00:00,226.5,227.67,226.17,226.91,2514985
2022-10-27 15:00:00,226.905,227.22,226.11,226.74,2072326
2022-10-27 16:00:00,226.685,227.99,226.1,226.81,4686375
2022-10-28 10:00:00,226.24,230.94,226.05,229.72,4314909
2022-10-28 11:00:00,229.77,235.19,228.39,234.03,6267056
2022-10-28 12:00:00,234.02,234.58,232.11,232.49,3415258
2022-10-28 13:00:00,232.5,233.81,231.72,233.1,2236289
2022-10-28 14:00:00,233.0919,234.05,233.075,233.98,1890803
2022-10-28 15:00:00,233.985,236.24,233.85,235.6,3185185
2022-10-28 16:00:00,235.5999,236.6,234.57,235.78,5165845
2022-10-31 10:00:00,233.78,234.92,231.67,232.84,2727601
2022-10-31 11:00:00,232.86,233.26,231.15,232.115,2364847
2022-10-31 12:00:00,232.09,234.19,232.04,233.11,2355474
2022-10-31 13:00:00,233.08,234.41,232.5,232.545,1398544
2022-10-31 14:00:00,232.545,233.84,232.33,233.3932,1373521
2022-10-31 15:00:00,233.4,233.84,232.77,232.77,1388151
2022-10-31 16:00:00,232.7823,233.27,231.49,232.13,4180191
2022-11-01 10:00:00,234.6,235.74,229.73,230.14,3200052
2022-11-01 11:00:00,230.12,230.29,228.1,229.15,3579780
2022-11-01 12:00:00,229.15,230.59,229.03,229.56,2528743
2022-11-01 13:00:00,229.58,230.22,227.325,228.5599,2416031
2022-11-01 14:00:00,228.55,228.56,227.37,228.395,1670014
2022-11-01 15:00:00,228.3999,228.98,228.06,228.63,2174201
2022-11-01 16:00:00,228.62,229.1,228.07,228.16,4120253
2022-11-02 10:00:00,229.4,229.46,226.285,226.64,2384449
2022-11-02 11:00:00,226.615,227.12,226.01,226.6206,2268877
2022-11-02 12:00:00,226.63,226.68,224.68,224.95,2622513
2022-11-02 13:00:00,224.93,225.78,224.5,225.595,1955962
2022-11-02 14:00:00,225.585,228.71,225.02,228.61,1985748
2022-11-02 15:00:00,228.67,231.3,224.22,225.34,6002472
2022-11-02 16:00:00,225.34,226.47,220.04,220.07,7101979
2022-11-03 10:00:00,220.09,220.41,216.11,216.26,3746168
2022-11-03 11:00:00,216.28,218.8,216.09,217.55,3773272
2022-11-03 12:00:00,217.5599,218.5501,215.9421,216.01,3349465
2022-11-03 13:00:00,216.04,218.4991,215.91,218.25,3207473
2022-11-03 14:00:00,218.23,218.23,216.295,216.6,1679434
2022-11-03 15:00:00,216.5888,216.92,215.95,216.47,2488788
2022-11-03 16:00:00,216.45,216.62,213.98,214.24,6590043
2022-11-04 10:00:00,217.59,218.48,213.431,217.08,4005945
2022-11-04 11:00:00,217.09,219.98,215.56,218.83,4004358
2022-11-04 12:00:00,218.81,218.81,215.475,215.953,3037254
2022-11-04 13:00:00,215.94,218.61,215.105,217.41,2680665
2022-11-04 14:00:00,217.42,217.83,216.11,217.02,1906843
2022-11-04 15:00:00,216.99,219.13,216.34,218.53,2161884
2022-11-04 16:00:00,218.56,221.59,218.54,221.54,4706300
2022-11-07 10:00:00,221.89,224.23,221.28,224.19,2555016
2022-11-07 11:00:00,224.161,226.55,224.08,226.1625,3378737
2022-11-07 12:00:00,226.14,226.32,223.09,223.09,2176036
2022-11-07 13:00:00,223.04,224.45,222.8901,224.3535,1743651
2022-11-07 14:00:00,224.36,226.5,224.3329,226.4863,2118283
2022-11-07 15:00:00,226.47,228.41,226.4,227.88,2990675
2022-11-07 16:00:00,227.8766,228.41,227.36,227.93,4453035
2022-11-08 10:00:00,228.59,230.41,227.5285,229.47,2674343
2022-11-08 11:00:00,229.47,230.73,228.68,229.04,2484141
2022-11-08 12:00:00,229.04,231.54,228.45,231.07,2361627
2022-11-08 13:00:00,231.08,231.65,230.38,230.79,1681895
2022-11-08 14:00:00,230.7908,231.3,227.05,227.65,2125772
2022-11-08 15:00:00,227.66,228.21,225.84,227.86,2301743
2022-11-08 16:00:00,227.87,230.5,227.865,228.83,3566169
2022-11-09 10:00:00,227.36,228.54,226.51,227.45,1794414
2022-11-09 11:00:00,227.43,228.6327,225.3,226.335,2331183
2022-11-09 12:00:00,226.295,228.28,226.17,227.37,1454649
2022-11-09 13:00:00,227.3522,227.68,226.43,226.52,1246487
2022-11-09 14:00:00,226.5,226.98,224.7861,225.325,1491195
2022-11-09 15:00:00,225.3,226.1499,224.33,224.84,1784334
2022-11-09 16:00:00,224.8171,225.6,224.34,224.52,3606485
