ticker,date,window_start,window_end,n_days,mu,kappa,theta,xi,rho,v0,lam,mu_j,sigma_j,kappa_j
SPY,2023-03-13 14:59:00,2023-03-13 09:30:00,2023-03-13 14:59:00,330,3.7082259890539575,97458.2296354069,0.09542463960780541,136.24482307089937,0.13235460266865456,0.016819620688570087,595.6363636363636,-0.002882125729700924,0.010177357178521102,-0.0028263348041835945
SPY,2023-03-13 15:59:00,2023-03-13 09:30:00,2023-03-13 15:59:00,390,1.0462399562436935,96456.88515737477,0.08822114095602278,130.32671175366028,0.11461327688617266,0.03597218752213848,504.0,-0.002882125729700924,0.010177357178521102,-0.0028263348041835945
SPY,2023-03-14 09:59:00,2023-03-13 10:00:00,2023-03-14 09:59:00,390,0.15170007229447965,94685.9528115563,0.0818294225706075,124.35922481686714,0.11426194321181626,0.032228444895630204,252.0,0.01372612266990636,0.0,0.013820758389784471
SPY,2023-03-14 10:59:00,2023-03-13 11:00:00,2023-03-14 10:59:00,390,-0.6876159153531499,95455.96778702145,0.06257438142301551,109.18935767034701,0.09527650956329543,0.013150348836622722,252.0,0.01372612266990636,0.0,0.013820758389784471
SPY,2023-03-14 11:59:00,2023-03-13 12:00:00,2023-03-14 11:59:00,390,-1.094605984583083,85648.90089689869,0.04784449192628764,90.43933424113993,-0.0035744427761737973,0.011219458967354955,252.0,0.01372612266990636,0.0,0.013820758389784471
SPY,2023-03-14 12:59:00,2023-03-13 13:00:00,2023-03-14 12:59:00,390,-0.34403588778676947,81609.08320113854,0.03579922329733656,76.36362524874068,0.05914483355655508,0.030837977937036878,252.0,0.01372612266990636,0.0,0.013820758389784471
SPY,2023-03-14 13:59:00,2023-03-13 14:00:00,2023-03-14 13:59:00,390,-2.5970347046699986,83196.83858137128,0.03068735233194501,71.38609206483142,-0.05413265083129669,0.03820723405352251,252.0,0.01372612266990636,0.0,0.013820758389784471
SPY,2023-03-14 14:59:00,2023-03-13 15:00:00,2023-03-14 14:59:00,390,-3.2143657826562966,91189.68177215978,0.027623651286642216,70.90777820896037,-0.14346626786354436,0.023476022904453064,252.0,0.01372612266990636,0.0,0.013820758389784471
SPY,2023-03-14 15:59:00,2023-03-14 09:30:00,2023-03-14 15:59:00,390,0.6943495745976608,82209.4573656346,0.026124899287644925,65.47397214610703,-0.04756037231344228,0.04639343696115884,252.0,0.01372612266990636,0.0,0.013820758389784471
SPY,2023-03-15 09:59:00,2023-03-14 10:00:00,2023-03-15 09:59:00,390,-0.03137963658027014,82930.80025608759,0.027057475257235116,66.92402444171884,0.003145578171792338,0.05923361651939847,252.0,-0.014193023585146847,0.0,-0.01409277745155546
