Date,SPY,AAPL,MSFT,AMZN
2004-09-30,111.78,0.585816,17.312601,2.043
2004-10-01,113.47,0.584607,17.688271,2.0235
2004-10-04,113.85,0.586422,17.60688,2.0505
2004-10-05,113.78,0.59519,17.769669,2.048
2004-10-06,114.58,0.614389,17.863586,2.068
2004-10-07,113.44,0.598969,17.638187,2.0575
2004-10-08,112.59,0.590503,17.525475,2.0
2004-10-11,112.82,0.583398,17.569305,2.0075
2004-10-12,112.56,0.578862,17.55052,2.011
2004-10-13,111.75,0.600934,17.55052,1.999
2004-10-14,110.71,0.680001,17.406509,1.955
2004-10-15,111.2,0.687862,17.525475,1.9275
2004-10-18,111.79,0.721878,17.788458,1.9635
2004-10-19,110.7,0.716889,17.644442,1.9165
2004-10-20,110.75,0.717645,17.970032,1.9175
2004-10-21,111.04,0.724749,17.88238,1.9735
2004-10-22,109.96,0.716737,17.368942,1.73
2004-10-25,109.87,0.718854,17.300064,1.6985
2004-10-26,111.5,0.725203,17.469122,1.6915
2004-10-27,112.95,0.760427,17.62566,1.7115
2004-10-28,113.19,0.789,17.537994,1.7225
2004-10-29,113.47,0.792175,17.512959,1.7065
2004-11-01,113.5,0.792931,17.581829,1.755
2004-11-02,113.51,0.808805,17.68202,1.812
2004-11-03,114.8,0.836168,17.826027,1.796
2004-11-04,116.65,0.823166,18.157871,1.8455
2004-11-05,117.1,0.827249,18.351978,1.828
2004-11-08,116.98,0.822108,18.333189,1.866
2004-11-09,116.95,0.81712,18.639994,1.87
2004-11-10,116.85,0.827703,18.614941,1.9045
2004-11-11,117.91,0.836017,18.771482,1.9415
2004-11-12,118.99,0.83904,18.765223,2.023
2004-11-15,118.62,0.83511,19.114151,2.0445
2004-11-16,117.79,0.830574,18.925728,2.0035
2004-11-17,118.46,0.82997,18.960621,1.995
2004-11-18,118.62,0.837377,18.890833,2.0185
2004-11-19,117.3,0.834052,18.744286,1.9275
2004-11-22,117.99,0.927481,18.59774,1.9025
2004-11-23,117.96,0.92627,18.514,1.9155
2004-11-24,118.45,0.968299,18.590759,1.9375
2004-11-26,118.55,0.975857,18.562855,1.9545
2004-11-29,118.17,1.034666,18.681475,1.947
2004-11-30,117.69,1.013652,18.709394,1.984
2004-12-01,119.48,1.024839,19.016447,1.999
2004-12-02,119.38,0.985835,18.904793,2.0085
2004-12-03,119.46,0.947587,19.002485,2.0045
2004-12-06,119.38,0.994452,19.072279,1.9745
2004-12-07,118.06,0.950762,18.890833,1.91
2004-12-08,118.66,0.956657,19.093216,1.936
2004-12-09,119.31,0.967391,19.002485,1.991
2004-12-10,119.18,0.984928,18.89782,1.9525
2004-12-13,120.26,0.981299,19.016447,1.9915
2004-12-14,120.73,0.987045,19.002485,2.022
2004-12-15,120.98,0.986591,18.918747,2.05
2004-12-16,120.73,1.006849,18.953638,2.0025
2004-12-17,119.26,0.982509,18.814075,2.0005
2004-12-20,119.31,0.948192,18.807093,1.9475
2004-12-21,120.39,0.962856,18.890833,1.9695
2004-12-22,120.85,0.963762,18.821054,1.976
2004-12-23,120.9,0.967694,18.848972,1.9465
2004-12-27,120.38,0.954843,18.737309,2.1125
2004-12-28,121.24,0.970263,18.807093,2.2315
2004-12-29,121.25,0.974194,18.772198,2.241
2004-12-30,121.27,0.979637,18.674501,2.2485
2004-12-31,121.1,0.973589,18.646584,2.2145
2005-01-03,120.12,0.956809,18.660547,2.226
2005-01-04,118.73,0.966635,18.730339,2.107
2005-01-05,118.31,0.975101,18.688459,2.0885
2005-01-06,118.75,0.975857,18.667526,2.0525
2005-01-07,118.58,1.046911,18.611691,2.116
2005-01-10,118.99,1.042527,18.702419,2.092
2005-01-11,118.27,0.976008,18.653564,2.082
2005-01-12,118.76,0.989614,18.688459,2.115
2005-01-13,117.73,1.055226,18.332554,2.13
2005-01-14,118.44,1.061273,18.22788,2.2275
2005-01-18,119.58,1.068076,18.367447,2.229
2005-01-19,118.46,1.056435,18.130184,2.198
2005-01-20,117.54,1.065203,18.04644,2.118
2005-01-21,116.79,1.065657,17.899881,2.058
2005-01-24,116.38,1.069738,17.913839,2.019
2005-01-25,116.84,1.089241,18.158092,2.047
2005-01-26,117.41,1.092265,18.151117,2.067
2005-01-27,117.47,1.09816,18.220905,2.1155
2005-01-28,117.16,1.118418,18.269743,2.111
2005-01-31,118.14,1.162562,18.339529,2.161
2005-02-01,118.96,1.172086,18.416294,2.124
2005-02-02,119.35,1.203834,18.465147,2.094
2005-02-03,119.06,1.176319,18.269743,1.7875
2005-02-04,120.37,1.191891,18.367447,1.786
2005-02-07,120.24,1.193403,18.255791,1.7845
2005-02-08,120.32,1.223034,18.311626,1.815
2005-02-09,119.32,1.190379,18.192987,1.7945
2005-02-10,119.83,1.184635,18.186007,1.789
2005-02-11,120.68,1.227721,18.123198,1.789
2005-02-14,120.78,1.279423,18.151117,1.8015
2005-02-15,121.19,1.336569,18.151115,1.807
2005-02-16,121.22,1.362571,18.053114,1.783
2005-02-17,120.27,1.327498,17.955111,1.7845
2005-02-18,120.35,1.312381,17.836109,1.7655
2005-02-22,118.62,1.289401,17.661112,1.736
2005-02-23,119.29,1.333848,17.640108,1.707
2005-02-24,120.27,1.34443,17.759113,1.7345
2005-02-25,121.39,1.345337,17.675114,1.7495
2005-02-28,120.62,1.356373,17.612123,1.759
2005-03-01,121.3,1.345489,17.69611,1.7695
2005-03-02,121.31,1.333998,17.682106,1.775
2005-03-03,121.35,1.263549,17.61912,1.7825
2005-03-04,122.51,1.294391,17.61912,1.7925
2005-03-07,122.83,1.292576,17.829119,1.816
2005-03-08,122.26,1.225453,17.780115,1.7915
2005-03-09,121.03,1.189775,17.717106,1.77
2005-03-10,121.26,1.204288,17.801109,1.7455
2005-03-11,120.37,1.217591,17.563112,1.7375
2005-03-14,121.05,1.219103,17.57711,1.73
2005-03-15,120.14,1.238454,17.437113,1.709
2005-03-16,119.19,1.245106,17.24111,1.6935
2005-03-17,119.4,1.277458,17.178112,1.6985
2005-03-18,118.88,1.298926,17.017111,1.708
2005-03-21,118.29,1.3213,16.940104,1.6835
