Date,SPY,AAPL
2008-11-03,96.713741,3.82
2008-11-04,100.653433,3.96393
2008-11-05,95.420541,3.68929
2008-11-06,90.663879,3.53929
2008-11-07,93.302648,3.50857
2008-11-10,92.137976,3.42429
2008-11-11,90.112907,3.38464
2008-11-12,85.495522,3.21857
2008-11-13,91.398333,3.44429
2008-11-14,87.618947,3.22286
2008-11-17,85.370373,3.14786
2008-11-18,86.234185,3.21107
2008-11-19,80.997381,3.081786
2008-11-20,75.587663,2.87464
2008-11-21,80.359348,2.94929
2008-11-24,85.534239,3.31964
2008-11-25,86.104459,3.24286
2008-11-26,89.163533,3.39286
2008-11-28,90.020685,3.30964
2008-12-01,82.031776,3.17607
2008-12-02,85.293434,3.3025
2008-12-03,87.530523,3.425
2008-12-04,84.985041,3.26464
2008-12-05,88.066611,3.35714
2008-12-08,91.441692,3.56143
2008-12-09,89.343359,3.57357
2008-12-10,90.408642,3.5075
2008-12-11,87.869944,3.39286
2008-12-12,88.483451,3.50964
2008-12-15,87.372454,3.38393
2008-12-16,91.828977,3.40821
2008-12-17,90.958436,3.18429
2008-12-18,89.061997,3.19393
2008-12-19,88.596187,3.21429
2008-12-22,86.980944,3.062143
2008-12-23,86.151867,3.085
2008-12-24,86.690684,3.037143
2008-12-26,87.153712,3.064643
2008-12-29,86.85927,3.093214
2008-12-30,88.994769,3.081786
2008-12-31,90.25611,3.048214
2009-01-02,93.143294,3.24107
2009-01-05,92.710728,3.37786
2009-01-06,93.434136,3.32214
2009-01-07,90.685286,3.25036
2009-01-08,90.996802,3.31071
2009-01-09,89.060534,3.235
2009-01-12,87.053423,3.16643
2009-01-13,87.211939,3.1325
2009-01-14,84.307086,3.0475
2009-01-15,84.422023,2.97786
2009-01-16,85.058605,2.94036
2009-01-20,80.573974,2.79286
2009-01-21,84.090816,2.95821
2009-01-22,82.819932,3.15571
2009-01-23,83.264016,3.15571
2009-01-26,83.725887,3.20143
2009-01-27,84.63834,3.24036
2009-01-28,87.484212,3.36429
2009-01-29,84.597893,3.32143
2009-01-30,82.67375,3.21893
2009-02-02,82.629634,3.26821
2009-02-03,83.936616,3.32071
2009-02-04,83.373189,3.34107
2009-02-05,84.739134,3.445
2009-02-06,87.046157,3.56143
2009-02-09,87.178015,3.66107
2009-02-10,82.911572,3.49393
2009-02-11,83.604842,3.45786
2009-02-12,83.768566,3.54536
2009-02-13,82.943344,3.54143
2009-02-17,79.194758,3.37607
2009-02-18,79.135091,3.37036
2009-02-19,78.240102,3.23714
2009-02-20,77.367883,3.25714
2009-02-23,74.700387,3.10536
2009-02-24,77.679092,3.22321
2009-02-25,76.874233,3.25571
2009-02-26,75.685558,3.18536
2009-02-27,73.915904,3.18964
2009-03-02,70.49394,3.14071
2009-03-03,70.046544,3.15607
2009-03-04,71.725865,3.25607
2009-03-05,68.700395,3.17286
2009-03-06,68.800062,3.046429
2009-03-09,68.130803,2.96821
2009-03-10,72.431546,3.16536
2009-03-11,72.631261,3.31
2009-03-12,75.580536,3.44107
2009-03-13,76.163089,3.42607
2009-03-16,75.898482,3.40786
2009-03-17,78.320596,3.55929
2009-03-18,79.944469,3.62571
2009-03-19,78.91418,3.62929
2009-03-20,76.805316,3.62821
2009-03-23,82.253206,3.845
2009-03-24,80.595872,3.80357
2009-03-25,81.37142,3.80321
2009-03-26,83.267251,3.92393
2009-03-27,81.591206,3.81607
2009-03-30,78.75842,3.73179
2009-03-31,79.790907,3.75429
2009-04-01,81.125324,3.88179
2009-04-02,83.457926,4.025357
2009-04-03,84.270056,4.1425
2009-04-06,83.572859,4.23036
2009-04-07,81.633905,4.10714
2009-04-08,82.595859,4.15429
2009-04-09,85.733982,4.27036
2009-04-13,85.957671,4.29357
2009-04-14,84.237843,4.22536
2009-04-15,85.293821,4.20143
2009-04-16,86.619186,4.3375
2009-04-17,87.04723,4.40786
2009-04-20,83.332455,4.30357
2009-04-21,85.098963,4.34857
2009-04-22,84.463791,4.33964
2009-04-23,85.300911,4.47857
2009-04-24,86.729811,4.425
2009-04-27,85.859417,4.45464
2009-04-28,85.627627,4.425
2009-04-29,87.484633,4.46929
2009-04-30,87.406469,4.49393
2009-05-01,87.878646,4.54429
2009-05-04,90.847186,4.71679
2009-05-05,90.514893,4.73964
2009-05-06,92.11867,4.73214
2009-05-07,90.911671,4.60929
2009-05-08,93.093191,4.61393
2009-05-11,91.129184,4.6275
2009-05-12,91.044443,4.44357
2009-05-13,88.640917,4.2675
2009-05-14,89.565582,4.39107
2009-05-15,88.562391,4.37214
2009-05-18,91.25167,4.52321
2009-05-19,91.109661,4.55179
2009-05-20,90.650896,4.49536
2009-05-21,89.164263,4.435
2009-05-22,89.032202,4.375
2009-05-26,91.36393,4.67071
2009-05-27,89.654532,4.75179
2009-05-28,91.045913,4.82393
2009-05-29,92.275382,4.85036
2009-06-01,94.650567,4.97679
2009-06-02,94.841607,4.98179
2009-06-03,93.562874,5.033929
2009-06-04,94.649869,5.13357
2009-06-05,94.417645,5.16679
2009-06-08,94.342025,5.1375
2009-06-09,94.675874,5.097143
2009-06-10,94.351986,5.0089288
2009-06-11,94.949645,4.99821
2009-06-12,95.083646,4.89179
2009-06-15,92.835845,4.86036
2009-06-16,91.661182,4.86964
2009-06-17,91.536741,4.84214
2009-06-18,92.315292,4.85286
2009-06-19,92.081909,4.98143
2009-06-22,89.291108,4.90607
2009-06-23,89.498062,4.78607
2009-06-24,90.08396,4.865
2009-06-25,92.015415,4.995
2009-06-26,91.898682,5.087143
2009-06-29,92.73362,5.070357
2009-06-30,91.950673,5.086786
2009-07-01,92.36146,5.10107
2009-07-02,89.672785,5.00071383
2009-07-06,89.904481,4.95036
2009-07-07,88.136209,4.83571
2009-07-08,88.041307,4.90071
2009-07-09,88.353854,4.87
2009-07-10,87.997874,4.94714
2009-07-13,90.1985,5.083571
2009-07-14,90.676585,5.081071
2009-07-15,93.362708,5.24571
2009-07-16,94.171913,5.26857
2009-07-17,94.134366,5.41964
2009-07-20,95.209061,5.46107
2009-07-21,95.555084,5.41107
2009-07-22,95.521597,5.59786
2009-07-23,97.743399,5.63643
2009-07-24,98.039706,5.71393
2009-07-27,98.33071,5.71786
2009-07-28,98.075278,5.71429
2009-07-29,97.640507,5.71536
2009-07-30,98.81205,5.81393
2009-07-31,98.883821,5.83536
2009-08-03,100.397934,5.94393
2009-08-04,100.702333,5.9125
2009-08-05,100.443441,5.89679
2009-08-06,99.893975,5.85393
2009-08-07,101.234066,5.91107
2009-08-10,100.899053,5.88286
2009-08-11,99.656726,5.81536
2009-08-12,100.838215,5.90393
2009-08-13,101.536812,6.015
2009-08-14,100.67313,5.95643
2009-08-17,98.258667,5.69964
2009-08-18,99.269299,5.85714
2009-08-19,99.960971,5.87857
2009-08-20,101.056625,5.94036
2009-08-21,102.949351,6.043571
2009-08-24,102.894608,6.037857
2009-08-25,103.137751,6.05
2009-08-26,103.160049,5.97893
2009-08-27,103.457378,6.051786
2009-08-28,103.266021,6.073214
2009-08-31,102.439484,6.0075002
2009-09-01,100.18683,5.90357
2009-09-02,99.882963,5.89929
2009-09-03,100.738625,5.94821
2009-09-04,102.059528,6.0825
2009-09-08,102.97412,6.17607
2009-09-09,103.776723,6.11214
2009-09-10,104.853816,6.16286
2009-09-11,104.734018,6.14857
2009-09-14,105.396393,6.20429
2009-09-15,105.726098,6.25571
2009-09-16,107.341106,6.49536
2009-09-17,107.028625,6.59107
2009-09-18,106.801852,6.60786
2009-09-21,106.43892,6.57214
2009-09-22,107.14177,6.58857
2009-09-23,106.062923,6.625
2009-09-24,105.072547,6.565
2009-09-25,104.431949,6.51321
2009-09-28,106.30993,6.64821
2009-09-29,106.075186,6.62071
2009-09-30,105.73223,6.61964
2009-10-01,103.010501,6.45929
2009-10-02,102.550109,6.60357
2009-10-05,104.076007,6.64357
2009-10-06,105.503488,6.78607
2009-10-07,105.84471,6.79464
2009-10-08,106.634272,6.75964
2009-10-09,107.236722,6.8025
2009-10-12,107.706442,6.81464
2009-10-13,107.413514,6.78643
2009-10-14,109.300132,6.83179
2009-10-15,109.753354,6.80571
2009-10-16,108.865636,6.71607
2009-10-19,109.887319,6.78071
2009-10-20,109.204769,7.098571
2009-10-21,108.254371,7.31857
2009-10-22,109.411849,7.32857
2009-10-23,108.080704,7.28357
2009-10-26,106.816327,7.23143
2009-10-27,106.465592,7.048929
2009-10-28,104.401976,6.87143
2009-10-29,106.757954,7.0125
2009-10-30,103.767298,6.73214
2009-11-02,104.435817,6.76107
2009-11-03,104.688946,6.74107
2009-11-04,104.835171,6.81464
2009-11-05,106.858469,6.92964
2009-11-06,107.13891,6.94071
2009-11-09,109.542404,7.195
2009-11-10,109.562368,7.24929
2009-11-11,110.111311,7.25893
2009-11-12,108.999576,7.21393
2009-11-13,109.623396,7.30179
2009-11-16,111.226566,7.37964
2009-11-17,111.341357,7.39286
2009-11-18,111.305947,7.35571
2009-11-19,109.816527,7.16107
2009-11-20,109.483111,7.14
2009-11-23,110.973418,7.35286
2009-11-24,110.921181,7.30143
2009-11-25,111.432723,7.2925
2009-11-27,109.545072,7.16393
2009-11-30,109.969752,7.13964
2009-12-01,111.297522,7.034643
2009-12-02,111.349362,7.008214
2009-12-03,110.421455,7.017143
2009-12-04,111.026882,6.90429
2009-12-07,110.758949,6.74821
2009-12-08,109.641737,6.78107
2009-12-09,110.053759,7.064286
2009-12-10,110.704063,7.015357
2009-12-11,111.127897,6.9525
2009-12-14,111.902658,7.035
2009-12-15,111.28423,6.93464
2009-12-16,111.411027,6.96536
2009-12-17,110.106469,6.85214
2009-12-18,110.154878,6.97964
2009-12-21,111.31454,7.079643
2009-12-22,111.714266,7.15571
2009-12-23,111.994798,7.21786
2009-12-24,112.58228,7.46571
2009-12-28,112.726851,7.5575
2009-12-29,112.603052,7.46786
2009-12-30,112.638153,7.55857
2009-12-31,111.510865,7.52607
2010-01-04,113.303107,7.64321
2010-01-05,113.656647,7.65643
2010-01-06,113.767556,7.53464
2010-01-07,114.228957,7.52071
2010-01-08,114.556771,7.57071
2010-01-11,114.755988,7.50393
2010-01-12,113.680357,7.41857
2010-01-13,114.636495,7.52321
2010-01-14,114.916734,7.47964
2010-01-15,113.677282,7.35464
2010-01-19,115.096674,7.68
2010-01-20,113.894934,7.56179
2010-01-21,111.742399,7.43107
2010-01-22,109.270501,7.0625
2010-01-25,109.776945,7.2525
2010-01-26,109.316859,7.355
2010-01-27,109.853997,7.42429
2010-01-28,108.566643,7.1175
2010-01-29,107.500991,6.85929
2010-02-01,109.031882,6.95464
2010-02-02,110.444752,6.995
2010-02-03,109.877656,7.11536
2010-02-04,106.463969,6.85893
2010-02-05,106.771233,6.98071
2010-02-08,105.86268,6.93286
2010-02-09,107.243382,7.0067859
2010-02-10,107.031871,6.96857
2010-02-11,108.079901,7.095357
2010-02-12,107.806032,7.15643
2010-02-16,109.758224,7.26429
2010-02-17,110.240536,7.23393
2010-02-18,110.972865,7.2475
2010-02-19,111.230742,7.2025
2010-02-22,111.116354,7.15786
2010-02-23,109.776219,7.037857
2010-02-24,110.860507,7.16643
2010-02-25,110.65788,7.21429
2010-02-26,110.816558,7.30786
2010-03-01,111.940473,7.46393
2010-03-02,112.199834,7.45893
2010-03-03,112.264282,7.47607
2010-03-04,112.684915,7.52536
2010-03-05,114.260306,7.81964
2010-03-08,114.260415,7.82429
2010-03-09,114.460534,7.965
2010-03-10,114.991121,8.03
2010-03-11,115.492484,8.053571
2010-03-12,115.468047,8.092857
2010-03-15,115.521936,7.99429
2010-03-16,116.418167,8.016071
2010-03-17,117.094292,8.0042858
2010-03-18,117.057464,8.023214
2010-03-19,115.982627,7.9375
2010-03-22,116.576387,8.026786
2010-03-23,117.425725,8.15571
2010-03-24,116.781513,8.19179
2010-03-25,116.58246,8.094643
2010-03-26,116.668022,8.24643
2010-03-29,117.351988,8.29964
2010-03-30,117.37037,8.42321
2010-03-31,116.98738,8.39286
2010-04-01,117.857717,8.4275
2010-04-05,118.795445,8.5175
2010-04-06,118.995313,8.555
2010-04-07,118.348859,8.59286
2010-04-08,118.751744,8.56964
2010-04-09,119.543957,8.63536
2010-04-12,119.756852,8.65321
2010-04-13,119.847639,8.65821
